ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Topics
973,K Closest Points to Origin,/problems/k-closest-points-to-origin,N,65.8%,Medium,70.95%,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
977,Squares of a Sorted Array,/problems/squares-of-a-sorted-array,N,71.9%,Easy,7.68%,"Array, Two Pointers, Sorting"
979,Distribute Coins in Binary Tree,/problems/distribute-coins-in-binary-tree,N,72.1%,Medium,37.18%,"Tree, Depth-First Search, Binary Tree"
981,Time Based Key-Value Store,/problems/time-based-key-value-store,N,53.4%,Medium,35.32%,"Hash Table, String, Binary Search, Design"
983,Minimum Cost For Tickets,/problems/minimum-cost-for-tickets,N,64.4%,Medium,33.93%,"Array, Dynamic Programming"
987,Vertical Order Traversal of a Binary Tree,/problems/vertical-order-traversal-of-a-binary-tree,N,44.7%,Hard,30.29%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
990,Satisfiability of Equality Equations,/problems/satisfiability-of-equality-equations,N,50.7%,Medium,16.10%,"Array, String, Union Find, Graph"
993,Cousins in Binary Tree,/problems/cousins-in-binary-tree,N,54.2%,Easy,19.28%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
994,Rotting Oranges,/problems/rotting-oranges,N,52.5%,Medium,51.85%,"Array, Breadth-First Search, Matrix"
1004,Max Consecutive Ones III,/problems/max-consecutive-ones-iii,N,63.4%,Medium,4.67%,"Array, Binary Search, Sliding Window, Prefix Sum"
1008,Construct Binary Search Tree from Preorder Traversal,/problems/construct-binary-search-tree-from-preorder-traversal,N,81.0%,Medium,4.45%,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree"
1010,Pairs of Songs With Total Durations Divisible by 60,/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,52.9%,Medium,3.02%,"Array, Hash Table, Counting"
